                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3697,                 1.3886,                 1.4509,                0.60155,                0.53491,                0.64818,                0.33248,                  1.616,                 1.4679,                 1.6178,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3774,                 1.3951,                 1.4592,                0.56533,                0.69021,                0.67479,                0.35167,                 1.5959,                 1.4499,                 1.6241,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3774,                 1.3951,                 1.4592,                0.56533,                0.69021,                0.67479,                0.35167,                 1.5959,                 1.4499,                 1.6241,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3699,                 1.3637,                 1.4563,                0.52354,                0.66751,                0.64114,                0.33823,                 1.5723,                  1.502,                 1.5858,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3699,                 1.3637,                 1.4563,                0.52354,                0.66751,                0.64114,                0.33823,                 1.5723,                  1.502,                 1.5858,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3808,                 1.3759,                 1.4548,                0.59161,                0.65825,                0.66259,                0.34127,                 1.5838,                 1.4528,                  1.602,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3808,                 1.3759,                 1.4548,                0.59161,                0.65825,                0.66259,                0.34127,                 1.5838,                 1.4528,                  1.602,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3698,                 1.3437,                 1.4345,                0.52146,                0.69137,                0.66635,                0.35334,                 1.5659,                   1.44,                 1.5786,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3698,                 1.3437,                 1.4345,                0.52146,                0.69137,                0.66635,                0.35334,                 1.5659,                   1.44,                 1.5786,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3686,                 1.3266,                 1.4446,                0.63974,                0.57227,                 0.6807,                0.36099,                 1.5513,                 1.4163,                 1.5593,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3686,                 1.3266,                 1.4446,                0.63974,                0.57227,                 0.6807,                0.36099,                 1.5513,                 1.4163,                 1.5593,              0.0006139,              0.0006139,              0.0006139
                     42,                  1.361,                  1.335,                 1.4414,                0.56263,                0.67953,                0.68488,                 0.3535,                  1.597,                 1.4114,                 1.5898,               0.000604,               0.000604,               0.000604
                     42,                  1.361,                  1.335,                 1.4414,                0.56263,                0.67953,                0.68488,                 0.3535,                  1.597,                 1.4114,                 1.5898,               0.000604,               0.000604,               0.000604
                     43,                  1.345,                 1.3177,                 1.4215,                0.53075,                0.68812,                0.67929,                0.35288,                 1.6018,                 1.4093,                 1.5882,              0.0005941,              0.0005941,              0.0005941
                     43,                  1.345,                 1.3177,                 1.4215,                0.53075,                0.68812,                0.67929,                0.35288,                 1.6018,                 1.4093,                 1.5882,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3756,                 1.3581,                 1.4474,                0.59467,                0.56721,                0.61522,                0.32545,                 1.6404,                 1.5429,                 1.6232,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.3756,                 1.3581,                 1.4474,                0.59467,                0.56721,                0.61522,                0.32545,                 1.6404,                 1.5429,                 1.6232,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3663,                  1.346,                  1.446,                0.54918,                0.68466,                0.69156,                0.35968,                 1.5834,                 1.3732,                 1.5919,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3663,                  1.346,                  1.446,                0.54918,                0.68466,                0.69156,                0.35968,                 1.5834,                 1.3732,                 1.5919,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3503,                 1.3121,                 1.4337,                0.61483,                0.67155,                 0.6964,                0.34853,                 1.6123,                 1.3836,                  1.601,              0.0005644,              0.0005644,              0.0005644
